X,Y,Numerical Solution (in K)
0.57,0.14,99.9213
0.57,0.15,99.9163
0.57,0.16,99.9115
0.57,0.17,99.9068
0.57,0.18,99.9022
0.57,0.19,99.8977
0.57,0.2,99.8933
0.57,0.21,99.8891
0.57,0.22,99.8851
0.57,0.23,99.8811
0.57,0.24,99.8773
0.57,0.25,99.8737
0.57,0.26,99.8702
0.57,0.27,99.8669
0.57,0.28,99.8637
0.57,0.29,99.8607
0.57,0.3,99.8578
0.57,0.31,99.8551
0.57,0.32,99.8526
0.57,0.33,99.8502
0.57,0.34,99.848
0.57,0.35,99.8459
0.57,0.36,99.844
0.57,0.37,99.8423
0.57,0.38,99.8408
0.57,0.39,99.8394
0.57,0.4,99.8382
0.57,0.41,99.8372
0.57,0.42,99.8363
0.57,0.43,99.8356
0.57,0.44,99.8351
0.57,0.45,99.8348
0.57,0.46,99.8346
0.57,0.47,99.8346
0.57,0.48,99.8347
0.57,0.49,99.835
0.57,0.5,99.8355
0.57,0.51,99.8362
0.57,0.52,99.837
0.57,0.53,99.8379
0.57,0.54,99.839
0.57,0.55,99.8403
0.57,0.56,99.8417
0.57,0.57,99.8433
0.57,0.58,99.845
0.57,0.59,99.8469
0.57,0.6,99.8489
0.57,0.61,99.851
0.57,0.62,99.8533
0.57,0.63,99.8557
0.57,0.64,99.8583
0.57,0.65,99.8609
0.57,0.66,99.8637
0.57,0.67,99.8666
0.57,0.68,99.8696
0.57,0.69,99.8728
0.57,0.7,99.876
0.57,0.71,99.8793
0.57,0.72,99.8827
0.57,0.73,99.8863
0.57,0.74,99.8899
0.57,0.75,99.8936
0.57,0.76,99.8973
0.57,0.77,99.9012
0.57,0.78,99.9051
0.57,0.79,99.9091
0.57,0.8,99.9132
0.57,0.81,99.9173
0.57,0.82,99.9214
0.57,0.83,99.9256
0.57,0.84,99.9299
0.57,0.85,99.9342
0.57,0.86,99.9385
0.57,0.87,99.9429
0.57,0.88,99.9472
0.57,0.89,99.9516
0.57,0.9,99.9561
0.57,0.91,99.9605
0.57,0.92,99.9649
0.57,0.93,99.9693
0.57,0.94,99.9738
0.57,0.95,99.9782
0.57,0.96,99.9826
0.57,0.97,99.987
0.57,0.98,99.9913
0.57,0.99,99.9957
0.57,1,100
0.58,0,100
0.58,0.01,99.994
0.58,0.02,99.9881
0.58,0.03,99.9822
0.58,0.04,99.9764
0.58,0.05,99.9706
0.58,0.06,99.9649
0.58,0.07,99.9592
0.58,0.08,99.9537
0.58,0.09,99.9482
0.58,0.1,99.9428
0.58,0.11,99.9375
0.58,0.12,99.9322
0.58,0.13,99.9271
0.58,0.14,99.9221
0.58,0.15,99.9172
0.58,0.16,99.9124
0.58,0.17,99.9078
0.58,0.18,99.9032
0.58,0.19,99.8988
0.58,0.2,99.8945
0.58,0.21,99.8903
0.58,0.22,99.8863
0.58,0.23,99.8824
0.58,0.24,99.8787
0.58,0.25,99.8751
0.58,0.26,99.8716
0.58,0.27,99.8683
0.58,0.28,99.8652
0.58,0.29,99.8622
0.58,0.3,99.8593
0.58,0.31,99.8567
0.58,0.32,99.8541
0.58,0.33,99.8518
0.58,0.34,99.8496
0.58,0.35,99.8476
0.58,0.36,99.8457
0.58,0.37,99.844
0.58,0.38,99.8425
0.58,0.39,99.8412
0.58,0.4,99.84
0.58,0.41,99.839
0.58,0.42,99.8381
0.58,0.43,99.8374
0.58,0.44,99.8369
0.58,0.45,99.8366
0.58,0.46,99.8364
0.58,0.47,99.8364
0.58,0.48,99.8365
0.58,0.49,99.8368
0.58,0.5,99.8373
0.58,0.51,99.838
0.58,0.52,99.8388
0.58,0.53,99.8397
0.58,0.54,99.8408
0.58,0.55,99.8421
0.58,0.56,99.8435
0.58,0.57,99.845
0.58,0.58,99.8467
0.58,0.59,99.8486
0.58,0.6,99.8506
0.58,0.61,99.8527
0.58,0.62,99.8549
0.58,0.63,99.8573
0.58,0.64,99.8598
0.58,0.65,99.8625
0.58,0.66,99.8652
0.58,0.67,99.8681
0.58,0.68,99.8711
0.58,0.69,99.8742
0.58,0.7,99.8774
0.58,0.71,99.8807
0.58,0.72,99.884
0.58,0.73,99.8875
0.58,0.74,99.8911
0.58,0.75,99.8948
0.58,0.76,99.8985
0.58,0.77,99.9023
0.58,0.78,99.9062
0.58,0.79,99.9101
0.58,0.8,99.9141
0.58,0.81,99.9182
0.58,0.82,99.9223
0.58,0.83,99.9265
0.58,0.84,99.9307
0.58,0.85,99.9349
0.58,0.86,99.9392
0.58,0.87,99.9435
0.58,0.88,99.9478
0.58,0.89,99.9522
0.58,0.9,99.9566
0.58,0.91,99.9609
0.58,0.92,99.9653
0.58,0.93,99.9697
0.58,0.94,99.9741
0.58,0.95,99.9784
0.58,0.96,99.9828
0.58,0.97,99.9871
0.58,0.98,99.9914
0.58,0.99,99.9957
0.58,1,100
0.59,0,100
0.59,0.01,99.9941
0.59,0.02,99.9882
0.59,0.03,99.9824
0.59,0.04,99.9766
0.59,0.05,99.9709
0.59,0.06,99.9653
0.59,0.07,99.9597
0.59,0.08,99.9542
0.59,0.09,99.9488
0.59,0.1,99.9434
0.59,0.11,99.9382
0.59,0.12,99.933
0.59,0.13,99.928
0.59,0.14,99.923
0.59,0.15,99.9182
0.59,0.16,99.9134
0.59,0.17,99.9088
0.59,0.18,99.9043
0.59,0.19,99.9
0.59,0.2,99.8957
0.59,0.21,99.8916
0.59,0.22,99.8876
0.59,0.23,99.8838
0.59,0.24,99.8801
0.59,0.25,99.8765
0.59,0.26,99.8731
0.59,0.27,99.8698
0.59,0.28,99.8667
0.59,0.29,99.8638
0.59,0.3,99.861
0.59,0.31,99.8583
0.59,0.32,99.8559
0.59,0.33,99.8535
0.59,0.34,99.8514
0.59,0.35,99.8494
0.59,0.36,99.8475
0.59,0.37,99.8459
0.59,0.38,99.8444
0.59,0.39,99.843
0.59,0.4,99.8419
0.59,0.41,99.8409
0.59,0.42,99.84
0.59,0.43,99.8394
0.59,0.44,99.8389
0.59,0.45,99.8385
0.59,0.46,99.8383
0.59,0.47,99.8383
0.59,0.48,99.8385
0.59,0.49,99.8388
0.59,0.5,99.8393
0.59,0.51,99.8399
0.59,0.52,99.8407
0.59,0.53,99.8416
0.59,0.54,99.8427
0.59,0.55,99.844
0.59,0.56,99.8454
0.59,0.57,99.8469
0.59,0.58,99.8486
0.59,0.59,99.8504
0.59,0.6,99.8524
0.59,0.61,99.8545
0.59,0.62,99.8567
0.59,0.63,99.859
0.59,0.64,99.8615
0.59,0.65,99.8641
0.59,0.66,99.8669
0.59,0.67,99.8697
0.59,0.68,99.8726
0.59,0.69,99.8757
0.59,0.7,99.8789
0.59,0.71,99.8821
0.59,0.72,99.8855
0.59,0.73,99.8889
0.59,0.74,99.8924
0.59,0.75,99.896
0.59,0.76,99.8997
0.59,0.77,99.9035
0.59,0.78,99.9073
0.59,0.79,99.9112
0.59,0.8,99.9152
0.59,0.81,99.9192
0.59,0.82,99.9233
0.59,0.83,99.9274
0.59,0.84,99.9315
0.59,0.85,99.9357
0.59,0.86,99.94
0.59,0.87,99.9442
0.59,0.88,99.9485
0.59,0.89,99.9528
0.59,0.9,99.9571
0.59,0.91,99.9614
0.59,0.92,99.9657
0.59,0.93,99.9701
0.59,0.94,99.9744
0.59,0.95,99.9787
0.59,0.96,99.983
0.59,0.97,99.9873
0.59,0.98,99.9916
0.59,0.99,99.9958
0.59,1,100
0.6,0,100
0.6,0.01,99.9942
0.6,0.02,99.9884
0.6,0.03,99.9826
0.6,0.04,99.9769
0.6,0.05,99.9713
0.6,0.06,99.9657
0.6,0.07,99.9602
0.6,0.08,99.9548
0.6,0.09,99.9494
0.6,0.1,99.9442
0.6,0.11,99.939
0.6,0.12,99.9339
0.6,0.13,99.9289
0.6,0.14,99.924
0.6,0.15,99.9192
0.6,0.16,99.9145
0.6,0.17,99.91
0.6,0.18,99.9055
0.6,0.19,99.9012
0.6,0.2,99.897
0.6,0.21,99.893
0.6,0.22,99.8891
0.6,0.23,99.8853
0.6,0.24,99.8816
0.6,0.25,99.8781
0.6,0.26,99.8747
0.6,0.27,99.8715
0.6,0.28,99.8684
0.6,0.29,99.8655
0.6,0.3,99.8628
0.6,0.31,99.8602
0.6,0.32,99.8577
0.6,0.33,99.8554
0.6,0.34,99.8533
0.6,0.35,99.8513
0.6,0.36,99.8495
0.6,0.37,99.8479
0.6,0.38,99.8464
0.6,0.39,99.8451
0.6,0.4,99.8439
0.6,0.41,99.8429
0.6,0.42,99.8421
0.6,0.43,99.8414
0.6,0.44,99.8409
0.6,0.45,99.8406
0.6,0.46,99.8404
0.6,0.47,99.8404
0.6,0.48,99.8406
0.6,0.49,99.8409
0.6,0.5,99.8414
0.6,0.51,99.842
0.6,0.52,99.8428
0.6,0.53,99.8437
0.6,0.54,99.8448
0.6,0.55,99.846
0.6,0.56,99.8474
0.6,0.57,99.8489
0.6,0.58,99.8506
0.6,0.59,99.8524
0.6,0.6,99.8543
0.6,0.61,99.8564
0.6,0.62,99.8586
0.6,0.63,99.8609
0.6,0.64,99.8634
0.6,0.65,99.8659
0.6,0.66,99.8686
0.6,0.67,99.8714
0.6,0.68,99.8743
0.6,0.69,99.8773
0.6,0.7,99.8805
0.6,0.71,99.8837
0.6,0.72,99.887
0.6,0.73,99.8904
0.6,0.74,99.8939
0.6,0.75,99.8974
0.6,0.76,99.9011
0.6,0.77,99.9048
0.6,0.78,99.9086
0.6,0.79,99.9124
0.6,0.8,99.9163
0.6,0.81,99.9203
0.6,0.82,99.9243
0.6,0.83,99.9284
0.6,0.84,99.9325
0.6,0.85,99.9366
0.6,0.86,99.9408
0.6,0.87,99.945
0.6,0.88,99.9492
0.6,0.89,99.9534
0.6,0.9,99.9577
0.6,0.91,99.9619
0.6,0.92,99.9662
0.6,0.93,99.9705
0.6,0.94,99.9747
0.6,0.95,99.979
0.6,0.96,99.9832
0.6,0.97,99.9875
0.6,0.98,99.9917
0.6,0.99,99.9958
0.6,1,100
0.61,0,100
0.61,0.01,99.9942
0.61,0.02,99.9885
0.61,0.03,99.9829
0.61,0.04,99.9772
0.61,0.05,99.9717
0.61,0.06,99.9662
0.61,0.07,99.9608
0.61,0.08,99.9554
0.61,0.09,99.9501
0.61,0.1,99.9449
0.61,0.11,99.9398
0.61,0.12,99.9348
0.61,0.13,99.9299
0.61,0.14,99.925
0.61,0.15,99.9203
0.61,0.16,99.9157
0.61,0.17,99.9112
0.61,0.18,99.9069
0.61,0.19,99.9026
0.61,0.2,99.8985
0.61,0.21,99.8945
0.61,0.22,99.8906
0.61,0.23,99.8869
0.61,0.24,99.8833
0.61,0.25,99.8798
0.61,0.26,99.8765
0.61,0.27,99.8733
0.61,0.28,99.8703
0.61,0.29,99.8674
0.61,0.3,99.8647
0.61,0.31,99.8621
0.61,0.32,99.8597
0.61,0.33,99.8574
0.61,0.34,99.8553
0.61,0.35,99.8534
0.61,0.36,99.8516
0.61,0.37,99.85
0.61,0.38,99.8485
0.61,0.39,99.8472
0.61,0.4,99.8461
0.61,0.41,99.8451
0.61,0.42,99.8443
0.61,0.43,99.8437
0.61,0.44,99.8432
0.61,0.45,99.8428
0.61,0.46,99.8427
0.61,0.47,99.8427
0.61,0.48,99.8428
0.61,0.49,99.8431
0.61,0.5,99.8436
0.61,0.51,99.8442
0.61,0.52,99.845
0.61,0.53,99.8459
0.61,0.54,99.847
0.61,0.55,99.8482
0.61,0.56,99.8495
0.61,0.57,99.851
0.61,0.58,99.8527
0.61,0.59,99.8545
0.61,0.6,99.8564
0.61,0.61,99.8584
0.61,0.62,99.8606
0.61,0.63,99.8629
0.61,0.64,99.8653
0.61,0.65,99.8678
0.61,0.66,99.8705
0.61,0.67,99.8732
0.61,0.68,99.8761
0.61,0.69,99.8791
0.61,0.7,99.8822
0.61,0.71,99.8853
0.61,0.72,99.8886
0.61,0.73,99.892
0.61,0.74,99.8954
0.61,0.75,99.8989
0.61,0.76,99.9025
0.61,0.77,99.9062
0.61,0.78,99.9099
0.61,0.79,99.9137
0.61,0.8,99.9175
0.61,0.81,99.9214
0.61,0.82,99.9254
0.61,0.83,99.9294
0.61,0.84,99.9334
0.61,0.85,99.9375
0.61,0.86,99.9416
0.61,0.87,99.9458
0.61,0.88,99.9499
0.61,0.89,99.9541
0.61,0.9,99.9583
0.61,0.91,99.9625
0.61,0.92,99.9667
0.61,0.93,99.9709
0.61,0.94,99.9751
0.61,0.95,99.9793
0.61,0.96,99.9835
0.61,0.97,99.9876
0.61,0.98,99.9918
0.61,0.99,99.9959
0.61,1,100
0.62,0,100
0.62,0.01,99.9943
0.62,0.02,99.9887
0.62,0.03,99.9831
0.62,0.04,99.9776
0.62,0.05,99.9721
0.62,0.06,99.9667
0.62,0.07,99.9613
0.62,0.08,99.9561
0.62,0.09,99.9509
0.62,0.1,99.9457
0.62,0.11,99.9407
0.62,0.12,99.9358
0.62,0.13,99.9309
0.62,0.14,99.9262
0.62,0.15,99.9215
0.62,0.16,99.917
0.62,0.17,99.9126
0.62,0.18,99.9082
0.62,0.19,99.9041
0.62,0.2,99.9
0.62,0.21,99.896
0.62,0.22,99.8922
0.62,0.23,99.8885
0.62,0.24,99.885
0.62,0.25,99.8816
0.62,0.26,99.8783
0.62,0.27,99.8752
0.62,0.28,99.8722
0.62,0.29,99.8694
0.62,0.3,99.8667
0.62,0.31,99.8642
0.62,0.32,99.8618
0.62,0.33,99.8596
0.62,0.34,99.8575
0.62,0.35,99.8556
0.62,0.36,99.8538
0.62,0.37,99.8523
0.62,0.38,99.8508
0.62,0.39,99.8495
0.62,0.4,99.8484
0.62,0.41,99.8475
0.62,0.42,99.8467
0.62,0.43,99.846
0.62,0.44,99.8456
0.62,0.45,99.8452
0.62,0.46,99.8451
0.62,0.47,99.8451
0.62,0.48,99.8452
0.62,0.49,99.8455
0.62,0.5,99.846
0.62,0.51,99.8466
0.62,0.52,99.8473
0.62,0.53,99.8483
0.62,0.54,99.8493
0.62,0.55,99.8505
0.62,0.56,99.8518
0.62,0.57,99.8533
0.62,0.58,99.8549
0.62,0.59,99.8567
0.62,0.6,99.8586
0.62,0.61,99.8606
0.62,0.62,99.8627
0.62,0.63,99.865
0.62,0.64,99.8674
0.62,0.65,99.8699
0.62,0.66,99.8725
0.62,0.67,99.8752
0.62,0.68,99.878
0.62,0.69,99.881
0.62,0.7,99.884
0.62,0.71,99.8871
0.62,0.72,99.8903
0.62,0.73,99.8936
0.62,0.74,99.897
0.62,0.75,99.9005
0.62,0.76,99.904
0.62,0.77,99.9076
0.62,0.78,99.9113
0.62,0.79,99.915
0.62,0.8,99.9188
0.62,0.81,99.9227
0.62,0.82,99.9266
0.62,0.83,99.9305
0.62,0.84,99.9345
0.62,0.85,99.9385
0.62,0.86,99.9425
0.62,0.87,99.9466
0.62,0.88,99.9507
0.62,0.89,99.9548
0.62,0.9,99.9589
0.62,0.91,99.9631
0.62,0.92,99.9672
0.62,0.93,99.9714
0.62,0.94,99.9755
0.62,0.95,99.9796
0.62,0.96,99.9837
0.62,0.97,99.9878
0.62,0.98,99.9919
0.62,0.99,99.996
0.62,1,100
0.63,0,100
0.63,0.01,99.9944
0.63,0.02,99.9889
0.63,0.03,99.9834
0.63,0.04,99.9779
0.63,0.05,99.9725
0.63,0.06,99.9672
0.63,0.07,99.962
0.63,0.08,99.9568
0.63,0.09,99.9516
0.63,0.1,99.9466
0.63,0.11,99.9417
0.63,0.12,99.9368
0.63,0.13,99.932
0.63,0.14,99.9273
0.63,0.15,99.9228
0.63,0.16,99.9183
0.63,0.17,99.914
0.63,0.18,99.9097
0.63,0.19,99.9056
0.63,0.2,99.9016
0.63,0.21,99.8977
0.63,0.22,99.894
0.63,0.23,99.8903
0.63,0.24,99.8869
0.63,0.25,99.8835
0.63,0.26,99.8803
0.63,0.27,99.8772
0.63,0.28,99.8743
0.63,0.29,99.8715
0.63,0.3,99.8689
0.63,0.31,99.8664
0.63,0.32,99.864
0.63,0.33,99.8619
0.63,0.34,99.8598
0.63,0.35,99.8579
0.63,0.36,99.8562
0.63,0.37,99.8547
0.63,0.38,99.8532
0.63,0.39,99.852
0.63,0.4,99.8509
0.63,0.41,99.8499
0.63,0.42,99.8492
0.63,0.43,99.8485
0.63,0.44,99.8481
0.63,0.45,99.8478
0.63,0.46,99.8476
0.63,0.47,99.8476
0.63,0.48,99.8477
0.63,0.49,99.848
0.63,0.5,99.8485
0.63,0.51,99.8491
0.63,0.52,99.8498
0.63,0.53,99.8507
0.63,0.54,99.8518
0.63,0.55,99.853
0.63,0.56,99.8543
0.63,0.57,99.8557
0.63,0.58,99.8573
0.63,0.59,99.859
0.63,0.6,99.8609
0.63,0.61,99.8629
0.63,0.62,99.865
0.63,0.63,99.8672
0.63,0.64,99.8696
0.63,0.65,99.872
0.63,0.66,99.8746
0.63,0.67,99.8773
0.63,0.68,99.88
0.63,0.69,99.8829
0.63,0.7,99.8859
0.63,0.71,99.889
0.63,0.72,99.8921
0.63,0.73,99.8954
0.63,0.74,99.8987
0.63,0.75,99.9021
0.63,0.76,99.9056
0.63,0.77,99.9091
0.63,0.78,99.9128
0.63,0.79,99.9164
0.63,0.8,99.9202
0.63,0.81,99.9239
0.63,0.82,99.9278
0.63,0.83,99.9317
0.63,0.84,99.9356
0.63,0.85,99.9395
0.63,0.86,99.9435
0.63,0.87,99.9475
0.63,0.88,99.9515
0.63,0.89,99.9556
0.63,0.9,99.9596
0.63,0.91,99.9637
0.63,0.92,99.9678
0.63,0.93,99.9718
0.63,0.94,99.9759
0.63,0.95,99.98
0.63,0.96,99.984
0.63,0.97,99.988
0.63,0.98,99.9921
0.63,0.99,99.996
0.63,1,100
0.64,0,100
0.64,0.01,99.9945
0.64,0.02,99.9891
0.64,0.03,99.9837
0.64,0.04,99.9783
0.64,0.05,99.973
0.64,0.06,99.9678
0.64,0.07,99.9626
0.64,0.08,99.9575
0.64,0.09,99.9525
0.64,0.1,99.9475
0.64,0.11,99.9427
0.64,0.12,99.9379
0.64,0.13,99.9332
0.64,0.14,99.9286
0.64,0.15,99.9241
0.64,0.16,99.9197
0.64,0.17,99.9154
0.64,0.18,99.9113
0.64,0.19,99.9072
0.64,0.2,99.9033
0.64,0.21,99.8995
0.64,0.22,99.8958
0.64,0.23,99.8922
0.64,0.24,99.8888
0.64,0.25,99.8855
0.64,0.26,99.8824
0.64,0.27,99.8793
0.64,0.28,99.8765
0.64,0.29,99.8737
0.64,0.3,99.8711
0.64,0.31,99.8687
0.64,0.32,99.8664
0.64,0.33,99.8642
0.64,0.34,99.8623
0.64,0.35,99.8604
0.64,0.36,99.8587
0.64,0.37,99.8572
0.64,0.38,99.8558
0.64,0.39,99.8546
0.64,0.4,99.8535
0.64,0.41,99.8526
0.64,0.42,99.8518
0.64,0.43,99.8512
0.64,0.44,99.8507
0.64,0.45,99.8504
0.64,0.46,99.8503
0.64,0.47,99.8503
0.64,0.48,99.8504
0.64,0.49,99.8507
0.64,0.5,99.8511
0.64,0.51,99.8517
0.64,0.52,99.8525
0.64,0.53,99.8534
0.64,0.54,99.8544
0.64,0.55,99.8555
0.64,0.56,99.8568
0.64,0.57,99.8583
0.64,0.58,99.8598
0.64,0.59,99.8615
0.64,0.6,99.8634
0.64,0.61,99.8653
0.64,0.62,99.8674
0.64,0.63,99.8696
0.64,0.64,99.8719
0.64,0.65,99.8743
0.64,0.66,99.8768
0.64,0.67,99.8794
0.64,0.68,99.8822
0.64,0.69,99.885
0.64,0.7,99.8879
0.64,0.71,99.8909
0.64,0.72,99.8941
0.64,0.73,99.8972
0.64,0.74,99.9005
0.64,0.75,99.9039
0.64,0.76,99.9073
0.64,0.77,99.9108
0.64,0.78,99.9143
0.64,0.79,99.9179
0.64,0.8,99.9216
0.64,0.81,99.9253
0.64,0.82,99.9291
0.64,0.83,99.9329
0.64,0.84,99.9367
0.64,0.85,99.9406
0.64,0.86,99.9445
0.64,0.87,99.9484
0.64,0.88,99.9524
0.64,0.89,99.9564
0.64,0.9,99.9604
0.64,0.91,99.9644
0.64,0.92,99.9683
0.64,0.93,99.9723
0.64,0.94,99.9763
0.64,0.95,99.9803
0.64,0.96,99.9843
0.64,0.97,99.9883
0.64,0.98,99.9922
0.64,0.99,99.9961
0.64,1,100
0.65,0,100
0.65,0.01,99.9946
0.65,0.02,99.9893
0.65,0.03,99.984
0.65,0.04,99.9787
0.65,0.05,99.9735
0.65,0.06,99.9684
0.65,0.07,99.9633
0.65,0.08,99.9583
0.65,0.09,99.9533
0.65,0.1,99.9485
0.65,0.11,99.9437
0.65,0.12,99.939
0.65,0.13,99.9344
0.65,0.14,99.9299
0.65,0.15,99.9255
0.65,0.16,99.9212
0.65,0.17,99.917
0.65,0.18,99.9129
0.65,0.19,99.9089
0.65,0.2,99.9051
0.65,0.21,99.9013
0.65,0.22,99.8977
0.65,0.23,99.8942
0.65,0.24,99.8909
0.65,0.25,99.8876
0.65,0.26,99.8845
0.65,0.27,99.8816
0.65,0.28,99.8787
0.65,0.29,99.8761
0.65,0.3,99.8735
0.65,0.31,99.8711
0.65,0.32,99.8689
0.65,0.33,99.8668
0.65,0.34,99.8648
0.65,0.35,99.863
0.65,0.36,99.8613
0.65,0.37,99.8598
0.65,0.38,99.8585
0.65,0.39,99.8573
0.65,0.4,99.8562
0.65,0.41,99.8553
0.65,0.42,99.8546
0.65,0.43,99.854
0.65,0.44,99.8535
0.65,0.45,99.8532
0.65,0.46,99.8531
0.65,0.47,99.8531
0.65,0.48,99.8532
0.65,0.49,99.8535
0.65,0.5,99.8539
0.65,0.51,99.8545
0.65,0.52,99.8552
0.65,0.53,99.8561
0.65,0.54,99.8571
0.65,0.55,99.8582
0.65,0.56,99.8595
0.65,0.57,99.8609
0.65,0.58,99.8625
0.65,0.59,99.8641
0.65,0.6,99.8659
0.65,0.61,99.8678
0.65,0.62,99.8699
0.65,0.63,99.872
0.65,0.64,99.8743
0.65,0.65,99.8767
0.65,0.66,99.8791
0.65,0.67,99.8817
0.65,0.68,99.8844
0.65,0.69,99.8872
0.65,0.7,99.8901
0.65,0.71,99.893
0.65,0.72,99.8961
0.65,0.73,99.8992
0.65,0.74,99.9024
0.65,0.75,99.9057
0.65,0.76,99.909
0.65,0.77,99.9125
0.65,0.78,99.9159
0.65,0.79,99.9195
0.65,0.8,99.9231
0.65,0.81,99.9267
0.65,0.82,99.9304
0.65,0.83,99.9342
0.65,0.84,99.9379
0.65,0.85,99.9417
0.65,0.86,99.9456
0.65,0.87,99.9494
0.65,0.88,99.9533
0.65,0.89,99.9572
0.65,0.9,99.9611
0.65,0.91,99.965
0.65,0.92,99.969
0.65,0.93,99.9729
0.65,0.94,99.9768
0.65,0.95,99.9807
0.65,0.96,99.9846
0.65,0.97,99.9885
0.65,0.98,99.9924
0.65,0.99,99.9962
0.65,1,100
0.66,0,100
0.66,0.01,99.9947
0.66,0.02,99.9895
0.66,0.03,99.9843
0.66,0.04,99.9791
0.66,0.05,99.974
0.66,0.06,99.969
0.66,0.07,99.964
0.66,0.08,99.9591
0.66,0.09,99.9543
0.66,0.1,99.9495
0.66,0.11,99.9448
0.66,0.12,99.9402
0.66,0.13,99.9357
0.66,0.14,99.9313
0.66,0.15,99.927
0.66,0.16,99.9227
0.66,0.17,99.9186
0.66,0.18,99.9146
0.66,0.19,99.9107
0.66,0.2,99.9069
0.66,0.21,99.9033
0.66,0.22,99.8997
0.66,0.23,99.8963
0.66,0.24,99.893
0.66,0.25,99.8898
0.66,0.26,99.8868
0.66,0.27,99.8839
0.66,0.28,99.8811
0.66,0.29,99.8785
0.66,0.3,99.876
0.66,0.31,99.8737
0.66,0.32,99.8715
0.66,0.33,99.8694
0.66,0.34,99.8675
0.66,0.35,99.8657
0.66,0.36,99.8641
0.66,0.37,99.8626
0.66,0.38,99.8613
0.66,0.39,99.8601
0.66,0.4,99.8591
0.66,0.41,99.8582
0.66,0.42,99.8574
0.66,0.43,99.8569
0.66,0.44,99.8564
0.66,0.45,99.8561
0.66,0.46,99.856
0.66,0.47,99.856
0.66,0.48,99.8561
0.66,0.49,99.8564
0.66,0.5,99.8568
0.66,0.51,99.8574
0.66,0.52,99.8581
0.66,0.53,99.859
0.66,0.54,99.86
0.66,0.55,99.8611
0.66,0.56,99.8623
0.66,0.57,99.8637
0.66,0.58,99.8652
0.66,0.59,99.8669
0.66,0.6,99.8686
0.66,0.61,99.8705
0.66,0.62,99.8725
0.66,0.63,99.8746
0.66,0.64,99.8768
0.66,0.65,99.8791
0.66,0.66,99.8816
0.66,0.67,99.8841
0.66,0.68,99.8867
0.66,0.69,99.8895
0.66,0.7,99.8923
0.66,0.71,99.8952
0.66,0.72,99.8982
0.66,0.73,99.9012
0.66,0.74,99.9044
0.66,0.75,99.9076
0.66,0.76,99.9109
0.66,0.77,99.9142
0.66,0.78,99.9176
0.66,0.79,99.9211
0.66,0.8,99.9246
0.66,0.81,99.9282
0.66,0.82,99.9318
0.66,0.83,99.9355
0.66,0.84,99.9392
0.66,0.85,99.9429
0.66,0.86,99.9467
0.66,0.87,99.9505
0.66,0.88,99.9543
0.66,0.89,99.9581
0.66,0.9,99.9619
0.66,0.91,99.9657
0.66,0.92,99.9696
0.66,0.93,99.9734
0.66,0.94,99.9773
0.66,0.95,99.9811
0.66,0.96,99.9849
0.66,0.97,99.9887
0.66,0.98,99.9925
0.66,0.99,99.9963
0.66,1,100
0.67,0,100
0.67,0.01,99.9948
0.67,0.02,99.9897
0.67,0.03,99.9846
0.67,0.04,99.9796
0.67,0.05,99.9746
0.67,0.06,99.9696
0.67,0.07,99.9648
0.67,0.08,99.9599
0.67,0.09,99.9552
0.67,0.1,99.9505
0.67,0.11,99.946
0.67,0.12,99.9415
0.67,0.13,99.937
0.67,0.14,99.9327
0.67,0.15,99.9285
0.67,0.16,99.9244
0.67,0.17,99.9203
0.67,0.18,99.9164
0.67,0.19,99.9126
0.67,0.2,99.9089
0.67,0.21,99.9053
0.67,0.22,99.9018
0.67,0.23,99.8985
0.67,0.24,99.8952
0.67,0.25,99.8922
0.67,0.26,99.8892
0.67,0.27,99.8863
0.67,0.28,99.8836
0.67,0.29,99.8811
0.67,0.3,99.8786
0.67,0.31,99.8763
0.67,0.32,99.8742
0.67,0.33,99.8721
0.67,0.34,99.8703
0.67,0.35,99.8685
0.67,0.36,99.8669
0.67,0.37,99.8655
0.67,0.38,99.8642
0.67,0.39,99.863
0.67,0.4,99.862
0.67,0.41,99.8612
0.67,0.42,99.8605
0.67,0.43,99.8599
0.67,0.44,99.8595
0.67,0.45,99.8592
0.67,0.46,99.859
0.67,0.47,99.859
0.67,0.48,99.8592
0.67,0.49,99.8595
0.67,0.5,99.8599
0.67,0.51,99.8604
0.67,0.52,99.8611
0.67,0.53,99.862
0.67,0.54,99.8629
0.67,0.55,99.864
0.67,0.56,99.8653
0.67,0.57,99.8666
0.67,0.58,99.8681
0.67,0.59,99.8697
0.67,0.6,99.8714
0.67,0.61,99.8732
0.67,0.62,99.8752
0.67,0.63,99.8773
0.67,0.64,99.8794
0.67,0.65,99.8817
0.67,0.66,99.8841
0.67,0.67,99.8866
0.67,0.68,99.8892
0.67,0.69,99.8918
0.67,0.7,99.8946
0.67,0.71,99.8974
0.67,0.72,99.9003
0.67,0.73,99.9034
0.67,0.74,99.9064
0.67,0.75,99.9096
0.67,0.76,99.9128
0.67,0.77,99.9161
0.67,0.78,99.9194
0.67,0.79,99.9228
0.67,0.8,99.9263
0.67,0.81,99.9298
0.67,0.82,99.9333
0.67,0.83,99.9369
0.67,0.84,99.9405
0.67,0.85,99.9442
0.67,0.86,99.9478
0.67,0.87,99.9515
0.67,0.88,99.9553
0.67,0.89,99.959
0.67,0.9,99.9627
0.67,0.91,99.9665
0.67,0.92,99.9703
0.67,0.93,99.974
0.67,0.94,99.9778
